Date,Open,High,Low,Close,Adj Close,Volume
2024-01-25,40075.55,40254.48,39545.66,39933.81,39933.81,18491782013.00
2024-01-26,39936.82,42209.39,39825.69,41816.87,41816.87,25598119893.00
2024-01-27,41815.63,42195.63,41431.28,42120.05,42120.05,11422941934.00
2024-01-28,42126.13,42797.18,41696.91,42035.59,42035.59,16858971687.00
2024-01-29,42030.91,43305.87,41818.33,43288.25,43288.25,20668476578.00
2024-01-30,43300.23,43838.95,42711.37,42952.61,42952.61,23842814518.00
2024-01-31,42946.25,43717.41,42298.95,42582.61,42582.61,24673628793.00
2024-02-01,42569.76,43243.17,41879.19,43075.77,43075.77,21423953779.00
2024-02-02,43077.64,43422.49,42584.34,43185.86,43185.86,18603843039.00
2024-02-03,43184.96,43359.94,42890.81,42992.25,42992.25,11169245236.00
2024-02-04,42994.94,43097.64,42374.83,42583.58,42583.58,14802225490.00
2024-02-05,42577.62,43494.25,42264.82,42658.67,42658.67,18715487317.00
2024-02-06,42657.39,43344.15,42529.02,43084.67,43084.67,16798476726.00
2024-02-07,43090.02,44341.95,42775.96,44318.22,44318.22,21126587775.00
2024-02-08,44332.13,45575.84,44332.13,45301.57,45301.57,26154524080.00
2024-02-09,45297.38,48152.50,45260.82,47147.20,47147.20,39316770844.00
2024-02-10,47153.53,48146.17,46905.32,47771.28,47771.28,16398681570.00
2024-02-11,47768.97,48535.94,47617.41,48293.92,48293.92,19315867136.00
2024-02-12,48296.39,50280.48,47745.76,49958.22,49958.22,34511985805.00
2024-02-13,49941.36,50358.39,48406.50,49742.44,49742.44,35593051468.00
2024-02-14,49733.45,52021.37,49296.83,51826.70,51826.70,39105608050.00
2024-02-15,51836.79,52820.07,51371.63,51938.55,51938.55,38564360533.00
2024-02-16,51937.73,52537.97,51641.37,52160.20,52160.20,28180567298.00
2024-02-17,52161.68,52191.91,50669.67,51663.00,51663.00,20009091006.00
2024-02-18,51661.97,52356.96,51233.71,52122.55,52122.55,17595377311.00
2024-02-19,52134.81,52483.32,51711.82,51779.14,51779.14,21362184346.00
2024-02-20,51777.73,52945.05,50792.31,52284.88,52284.88,33353758256.00
2024-02-21,52273.54,52368.82,50671.76,51839.18,51839.18,28624907020.00
2024-02-22,51854.64,52009.61,50926.29,51304.97,51304.97,25413900611.00
2024-02-23,51283.91,51497.93,50561.78,50731.95,50731.95,21427078270.00
2024-02-24,50736.37,51684.20,50585.45,51571.10,51571.10,15174077879.00
2024-02-25,51565.21,51950.03,51306.17,51733.24,51733.24,15413239245.00
2024-02-26,51730.54,54938.18,50931.03,54522.40,54522.40,34074411896.00
2024-02-27,54519.36,57537.84,54484.20,57085.37,57085.37,49756832031.00
2024-02-28,57071.10,63913.13,56738.43,62504.79,62504.79,83239156760.00
2024-02-29,62499.18,63585.64,60498.73,61198.38,61198.38,65496611844.00
2024-03-01,61168.06,63155.10,60802.53,62440.63,62440.63,40186368423.00
2024-03-02,62431.65,62458.70,61657.29,62029.85,62029.85,23888473685.00
2024-03-03,62031.58,63230.21,61435.02,63167.37,63167.37,26253811450.00
2024-03-04,63137.00,68537.03,62386.52,68330.41,68330.41,70670471105.00
2024-03-05,68341.05,69170.63,59323.91,63801.20,63801.20,102802940877.00
2024-03-06,63776.05,67637.93,62848.67,66106.80,66106.80,68750229073.00
2024-03-07,66099.74,68029.92,65655.53,66925.48,66925.48,46989543159.00
2024-03-08,66938.09,70083.05,66230.45,68300.09,68300.09,59202881172.00
2024-03-09,68299.26,68673.05,68053.13,68498.88,68498.88,21609650379.00
2024-03-10,68500.26,70005.20,68239.98,69019.79,69019.79,35683977532.00
2024-03-11,69020.55,72850.71,67194.88,72123.91,72123.91,65716656765.00
2024-03-12,72125.13,72825.66,68728.85,71481.29,71481.29,62554434520.00
2024-03-13,71482.12,73637.48,71334.09,73083.50,73083.50,48212536929.00
2024-03-14,73079.38,73750.07,68563.02,71396.59,71396.59,59594605698.00
2024-03-15,71387.88,72357.13,65630.70,69403.77,69403.77,78320453976.00
2024-03-16,69392.48,70046.27,64801.39,65315.12,65315.12,46842198371.00
2024-03-17,65316.34,68845.72,64545.32,68390.63,68390.63,44716864318.00
2024-03-18,68371.30,68897.13,66594.23,67548.59,67548.59,49261579492.00
2024-03-19,67556.13,68106.93,61536.18,61912.77,61912.77,74215844794.00
2024-03-20,61930.16,68115.26,60807.79,67913.67,67913.67,66792634382.00
